Screenshots,1:1 -> Fomo,1:1 RR BE?,1:2->TP/Be,A and B Tp,ACM,Auswählen,BOS,CRV 1,CRV 2 1%,CRV 2RR NG,CRV 3,CRV 4,CRV 8,CRV Profit,CRV Runner,CRV TP Formel,CRV Teilprofit-Formel,CRV iwas,Casting ,Clean,Datum,FOMO?,HITs BE?,HTF ?,Jahr,L/S,LQ-Sweep?,Notizen ,Pips SL,Range in H,Risk Level,SL->TP,Session,TP 1 & 2,TP1 &2,TP?-2RR,Trade noch offen ?,Uhrzeit,Währungspaar,a->b
Live,NO,,TP,,Yes,,Yes,1,2,4,-1,-1,-1,2,"1,5",-1,,,a+,Yes,8. Mai 2025 22:00 (GMT+7),No,NO,,2025,L,No,,50,"5,5",A,,,,FULL TP,Yes,,,XAU/USD,
Live,NO,,BE,,Yes,,Yes,1,2,4,3,-1,-1,3,"1,5",0,,,a+,Yes,13. Mai 2025 02:00 (GMT+7),No,YES,,2025,S,Yes,,57,3,A,,,,FULL TP,Yes,,,XAU/USD,
Live,NO,,TP,,Yes,,Yes,1,2,4,3,4,8,33,"7,75","18,25",,,a+,Yes,13. Mai 2025 22:00 (GMT+7),No,YES,,2025,S,Yes,,51,5,A,,,,FULL TP,Yes,,,XAU/USD,
Live,Yes,,TP,,Yes,,Yes,1,2,4,-1,-1,-1,2,"1,5",-1,,,a,Yes,21. Mai 2025 21:00 (GMT+7),No,NO,,2025,S,Yes,,50,8,A,,,,,Yes,,,XAU/USD,
Live,NO,,,,Yes,,,1,2,4,3,-1,-1,3,"1,5",0,,,a+,Yes,27. Mai 2025 06:00 (GMT+7),No,YES,,2025,L,No,,44,5,A,,,,,Yes,,,XAU/USD,
Live,NO,,,,Yes,,,1,2,4,-1,-1,-1,"2,5","1,5",-1,,,a+,Yes,27. Mai 2025 08:00 (GMT+7),No,NO,,2025,S,No,,45,9,A,,,,,Yes,,,XAU/USD,
Live,NO,,SL,,Yes,,Yes,-1,-1,-2,-1,-1,-1,-1,-1,-1,,,a,Yes,5. Juni 2025 15:00 (GMT+7),No,YES,,2025,S,Yes,,44,14,A,,,,,No,,,XAU/USD,
Live,NO,,,,Yes,,,1,2,4,3,-1,8,"8,2","1,5",0,,,a+,Yes,7. August 2025 21:00 (GMT+7),No,NO,,2025,L,Yes,,35,4,A,,,,,Yes,,,XAU/USD,
Live,NO,,,,Yes,,,1,-1,-2,-1,-1,-1,1,-1,-1,,,a+,Yes,11. Juni 2025 05:00 (GMT+7),No,YES,,2025,L,Yes,,35,5,A,,,,,No,,,XAU/USD,
Live,NO,,,,Yes,,,1,-1,-2,-1,-1,-1,1,-1,-1,,,a+,Yes,12. Juni 2025 17:00 (GMT+7),No,YES,,2025,S,Yes,,22,8,A,,,,,No,,,XAU/USD,
Live,NO,,,,Yes,,,1,2,4,-1,-1,-1,2,"1,5",-1,,,a-,Yes,13. Juni 2025 20:00 (GMT+7),No,NO,,2025,L,No,,44,8,A,,,,,Yes,,,XAU/USD,
Live,Yes,,,,Yes,,,1,2,4,3,4,-1,56,"1,5","18,25",,,a+,Yes,17. Juni 2025 18:00 (GMT+7),No,YES,,2025,S,No,,36,"4,5",A,,,,,Yes,,,XAU/USD,
Live,NO,,,,Yes,,,-1,-1,-2,-1,-1,-1,-1,-1,-1,,,a,Yes,20. Juni 2025 03:00 (GMT+7),No,YES,,2025,L,No,,60,9,A,,,,,No,,,XAU/USD,
Live,NO,,,,Yes,,,1,-1,-2,-1,-1,-1,1,-1,-1,,,a,Yes,7. Juli 2025 05:00 (GMT+7),No,YES,,2025,L,Yes,,20,"6,6",A,,,,,No,,,XAU/USD,
Live,NO,,,,Yes,,,-1,-1,-2,-1,-1,-1,-1,-1,-1,,,a,Yes,8. Juli 2025 20:00 (GMT+7),No,Direkt SL,,2025,L,Yes,,51,12,A,,,,,No,,,XAU/USD,
Live,NO,,,,Yes,,,-1,-1,-2,-1,-1,-1,-1,-1,-1,,,a+,Yes,14. Juli 2025 19:00 (GMT+7),No,Direkt SL,,2025,L,Yes,,30,6,A,,,,,No,,14,XAU/USD,
Live,NO,,,,Yes,,,1,2,4,3,4,8,8,"1,5",0,,,a,Yes,16. Juli 2025 19:00 (GMT+7),No,YES,,2025,S,Yes,,22,6,A,,,,,Yes,,,XAU/USD,
Live,NO,,,,Yes,,,-1,-1,-2,-1,-1,-1,-1,-1,-1,,,a+,Yes,23. Juli 2025 17:00 (GMT+7),No,YES,,2025,L,Yes,,20,8,A,,,,,No,,13,XAU/USD,
Live,NO,,,,Yes,,,1,2,4,3,-1,-1,3,"1,5",0,,,a,Yes,28. Juli 2025 16:00 (GMT+7),No,NO,,2025,L,No,,20,"5,5",A,,,,,Yes,,11,XAU/USD,
3 be,NO,YES,BE,3,Yes,,,1,2,4,3,4,8,10,,"2,75",,7,a+,Yes,4. Januar 2023 20:30 (GMT+7),No,YES,JA,2023,S,No,D1 HTF OB Gleiche Richtung Ja,31,5,A,,L,"1,5",,Yes,,,XAU/USD1,
,Yes,YES,TP,3,Yes,,,1,2,4,3,4,8,20,,"2,75",,7,a+,Yes,5. Januar 2023 13:00 (GMT+7),No,YES,JA,2023,S,Yes,D1 HTF OB Gleiche Richtung Ja,27,6,A,,A,"1,5",,Yes,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,1,,-1,,-1,,Yes,9. Januar 2023 14:00 (GMT+7),No,YES,,2023,L,Yes,,28,,A,,A,0,,No,,,XAU/USD1,
,NO,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,1,,-1,,-1,a,Yes,17. Januar 2023 22:30 (GMT+7),No,YES,,2023,L,Yes,,35,12,A,,NY,0,,No,,,XAU/USD1,
,NO,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,1,,-1,,-1,a+,Yes,19. Januar 2023 08:00 (GMT+7),No,YES,,2023,L,No,,22,7,A,,A,0,,No,,,XAU/USD1,
,NO,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,20. Januar 2023 14:00 (GMT+7),No,YES,,2023,S,No,,26,"7,5",A,,A,-1,,No,,,XAU/USD1,
,NO,NO,,3,Yes,,,1,2,4,3,-1,-1,"3,5",,0,,-1,a+,Yes,23. Januar 2023 23:00 (GMT+7),No,NO,,2023,S,Yes,,20,48,A,,NY,"1,5",,Yes,,,XAU/USD1,
,Yes,NO,,3,Yes,,,1,2,4,3,4,-1,4,,0,,-1,a,Yes,24. Januar 2023 23:00 (GMT+7),No,NO,,2023,S,No,,14,8,A,,NY,"1,5",,Yes,,,XAU/USD1,
,NO,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,26. Januar 2023 21:30 (GMT+7),No,YES,,2023,L,Yes,,52,5,A,,NY,-1,,No,,,XAU/USD1,
,NO,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,27. Januar 2023 18:00 (GMT+7),No,YES,,2023,S,Yes,,23,"6,5",A,,L,-1,,No,,,XAU/USD1,
,NO,YES,TP,3,Yes,,,1,2,4,3,4,8,93,,"18,25",,7,a,Yes,2. Februar 2023 18:30 (GMT+7),No,YES,JA,2023,S,No,W1 HTF OB Gleiche Richtung Ja,16,"3,5",A,,L,"1,5",,Yes,,,XAU/USD1,
,NO,NO,,-1,Yes,,,1,2,4,-1,-1,-1,47,,"18,25",,-1,a+,Yes,3. Februar 2023 16:00 (GMT+7),No,NO,JA,2023,S,No,W1 HTF Move Gleiche Richtung Ja,22,"6,5",A,,L,"1,5",,Yes,,,XAU/USD1,
,NO,YES,,3,Yes,,,1,2,4,3,-1,-1,3,,0,,-1,a,Yes,6. Februar 2023 06:30 (GMT+7),No,YES,,2023,L,Yes,,52,"7,5",A,,A,"1,5",,Yes,,,XAU/USD1,
,Yes,YES,BE,3,Yes,,,1,2,4,3,4,-1,"7,5",,0,,7,a+,Yes,7. Februar 2023 18:30 (GMT+7),No,YES,,2023,L,No,W1 HTF Move Gleiche Richung Nein,23,11,A,,L,"1,5",,Yes,,,XAU/USD1,
,NO,YES,,3,Yes,,,1,2,4,3,4,-1,4,,0,,-1,a+,Yes,16. Februar 2023 12:30 (GMT+7),No,YES,,2023,L,Yes,,22,18,A,,A,"1,5",,Yes,,,XAU/USD1,
,NO,NO,,3,Yes,,,1,2,4,3,4,-1,4,,0,,-1,a,Yes,21. Februar 2023 21:40 (GMT+7),No,NO,,2023,S,No,,27,24,A,,NY,"1,5",,Yes,,,XAU/USD1,
,NO,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,22. Februar 2023 15:00 (GMT+7),No,Direkt SL,,2023,L,No,,12,14,A,,L,-1,,No,,,XAU/USD1,
,NO,YES,,3,Yes,,,1,2,4,3,4,-1,"5,5",,0,,-1,a,Yes,24. Februar 2023 15:30 (GMT+7),No,YES,,2023,S,Yes,,26,7,A,,L,"1,5",,Yes,,,XAU/USD1,
,NO,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,2. März 2023 19:30 (GMT+7),No,Direkt SL,,2023,L,Yes,,21,9,A,,L,-1,,No,,,XAU/USD1,
,NO,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,1,,-1,,-1,a+,Yes,3. März 2023 23:00 (GMT+7),No,YES,,2023,S,Yes,,19,5,A,,NY,0,,No,,,XAU/USD1,
,Yes,YES,TP,3,Yes,,,1,2,4,3,4,-1,7,,0,,7,a+,Yes,6. März 2023 20:00 (GMT+7),No,YES,,2023,S,Yes,,25,15,A,,NY,"1,5",,Yes,,,XAU/USD1,
,NO,NO,TP,3,Yes,,,1,2,4,3,4,8,144,,"18,25",,7,a,Yes,9. März 2023 20:20 (GMT+7),No,NO,JA,2023,L,Yes,4H HTF OB Move Gleiche Richtung Ja,21,14,A,,NY,"1,5",,Yes,,,XAU/USD1,
,NO,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,23. März 2023 20:20 (GMT+7),No,YES,,2023,S,Yes,,35,8,A,,NY,-1,,No,,,XAU/USD1,
,,YES,,2,Yes,,,1,2,2,-1,-1,,"2,7",,-1,,-1,,Yes,24. März 2023 15:00 (GMT+7),No,YES,,2023,S,No,,32,1,A,,L,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,a,Yes,30. März 2023 13:00 (GMT+7),No,Direkt SL,,2023,S,Yes,,17,-1,A,,A,-1,,No,,,XAU/USD1,
,,NO,TP,3,Yes,,,1,2,4,3,4,8,11,,"2,75",,7,a,Yes,10. April 2023 19:30 (GMT+7),No,NO,JA,2023,S,Yes,D1 HTF OB Gleiche Richtung Ja,22,"4,5",A,,NY,"1,5",,Yes,,,XAU/USD1,
,,NO,TP,3,Yes,,,1,2,4,3,4,8,46,,"18,25",,7,a+,Yes,11. April 2023 08:30 (GMT+7),No,NO,NEIN,2023,L,No,Kein HTF,13,"4,5",A,,A,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,21. April 2023 18:00 (GMT+7),No,Direkt SL,,2023,L,No,,18,-1,A,,L,-1,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,27. April 2023 09:30 (GMT+7),No,Direkt SL,,2023,S,Yes,,31,-1,A,,A,-1,,No,,,XAU/USD1,
,,YES,,-1,Yes,,,1,2,4,-1,-1,-1,"2,2",,-1,,-1,a,Yes,2. Mai 2023 09:00 (GMT+7),No,YES,,2023,L,Yes,,17,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,"1,5",,-1,,-1,a-,Yes,11. Mai 2023 09:00 (GMT+7),No,YES,,2023,L,Yes,,14,-1,A,,A,0,,No,,,XAU/USD1,
,,YES,,3,Yes,,,1,2,4,3,-1,-1,"3,2",,0,,-1,a,Yes,19. Mai 2023 18:40 (GMT+7),No,YES,,2023,S,No,,23,1,A,,L,"1,5",,Yes,,,XAU/USD1,
,,YES,,3,Yes,,,1,2,4,3,4,-1,4,,0,,-1,a,Yes,2. August 2023 16:00 (GMT+7),No,YES,,2023,L,Yes,,15,1,A,,L,"1,5",,Yes,,,XAU/USD1,
,,NO,,3,Yes,,,1,2,4,3,4,-1,9,,0,,-1,a+,Yes,26. Mai 2023 21:00 (GMT+7),No,NO,NEIN,2023,S,No,Kein HTF,24,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,,NO,TP,3,Yes,,,1,2,4,3,4,8,23,,"2,75",,7,a,Yes,30. Mai 2023 09:30 (GMT+7),No,NO,,2023,S,No,,10,"4,5",A,,A,"1,5",,Yes,,,XAU/USD1,
,,NO,,3,Yes,,,1,2,4,3,4,-1,6,,0,,-1,a+,Yes,25. Juli 2023 19:00 (GMT+7),No,NO,,2023,S,Yes,,16,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-1,-1,-1,,-1,,-1,,-1,,Yes,1. Juni 2023 17:30 (GMT+7),No,Direkt SL,,2023,S,No,,18,-1,A,,L,-1,,No,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,1,,-1,,-1,a,Yes,6. Juni 2023 15:00 (GMT+7),No,YES,,2023,S,Yes,,21,-1,A,,L,0,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,7. Juni 2023 16:00 (GMT+7),No,YES,,2023,S,Yes,,24,-1,A,,L,-1,,No,,,XAU/USD1,
,,YES,,-1,Yes,,,1,2,4,-1,-1,-1,2,,-1,,-1,a+,Yes,8. Juni 2023 05:00 (GMT+7),No,YES,,2023,S,No,,26,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,Yes,NO,,-1,Yes,,,1,2,4,-1,-1,-1,"2,3",,-1,,-1,a,Yes,20. Juni 2023 11:00 (GMT+7),No,NO,,2023,S,Yes,,19,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,YES,TP,3,Yes,,,1,2,4,3,4,8,10,,"2,75",,7,a+,Yes,21. Juni 2023 14:00 (GMT+7),No,YES,NEIN,2023,S,Yes,Mit BE 14 RR ohne BE 36,14,"4,5",A,,L,"1,5",,Yes,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,"1,7",,-1,,-1,a,Yes,29. Juni 2023 04:00 (GMT+7),No,YES,,2023,L,Yes,,26,-1,A,,A,0,,No,,,XAU/USD1,
,,YES,TP,3,Yes,,,1,2,4,3,4,8,17,,"2,75",,7,a+,Yes,5. Juli 2023 13:30 (GMT+7),No,NO,NEIN,2023,L,Yes,HTF nein,11,"4,5",A,,A,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,19. Juli 2023 19:20 (GMT+7),No,Direkt SL,,2023,S,No,,15,-1,A,,NY,-1,,No,,,XAU/USD1,
,,YES,BE,3,Yes,,,1,2,4,3,4,8,23,,"2,75",,7,a,Yes,6. Juli 2023 08:30 (GMT+7),No,YES,NEIN,2023,L,Yes,"HTF nein 
mit be 10rr ohne 23",11,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,YES,,-1,Yes,,,1,2,4,-1,-1,-1,"2,2",,-1,,-1,a+,Yes,10. Juli 2023 20:30 (GMT+7),No,YES,,2023,S,Yes,,16,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,,NO,,-1,Yes,,,1,2,4,-1,-1,-1,"2,7",,-1,,-1,a+,Yes,18. Juli 2023 08:30 (GMT+7),No,NO,,2023,S,Yes,,17,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,NO,,2,Yes,,,1,2,2,-1,-1,,"2,9",,-1,,-1,,Yes,19. Juli 2023 10:00 (GMT+7),No,NO,,2023,S,No,,11,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,NO,,3,Yes,,,1,2,4,3,4,-1,4,,0,,-1,a,Yes,3. August 2023 19:30 (GMT+7),No,NO,,2023,S,No,,14,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,"1,5",,-1,,-1,a,Yes,7. August 2023 09:00 (GMT+7),No,YES,,2023,L,No,,9,-1,A,,A,0,,No,,,XAU/USD1,
,Yes,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,8. August 2023 15:00 (GMT+7),No,Direkt SL,,2023,S,No,,13,-1,A,,L,-1,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a-,Yes,8. August 2023 22:00 (GMT+7),No,Direkt SL,,2023,L,Yes,,23,-1,A,,NY,-1,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,9. August 2023 17:00 (GMT+7),No,YES,,2023,L,Yes,,15,-1,A,,L,-1,,No,,,XAU/USD1,
,,NO,,3,Yes,,,1,2,4,3,-1,-1,3,,0,,-1,a+,Yes,24. August 2023 21:10 (GMT+7),No,NO,,2023,S,Yes,,14,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,,NO,,3,Yes,,,1,2,4,3,-1,-1,3,,0,,-1,a+,Yes,13. September 2023 12:30 (GMT+7),No,NO,,2023,S,Yes,,15,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,28. September 2023 12:20 (GMT+7),No,YES,,2023,S,No,,,-1,A,,A,-1,,No,,,XAU/USD1,
,,YES,,3,Yes,,,1,2,4,3,-1,-1,"3,5",,0,,-1,a+,Yes,28. September 2023 13:00 (GMT+7),No,YES,,2023,L,No,,10,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,NO,TP,3,Yes,,,1,2,4,3,4,8,3600,,"18,25",,7,a,Yes,17. Oktober 2023 13:00 (GMT+7),No,NO,,2023,L,Yes,,17,"4,5",A,,A,"1,5",,Yes,,,XAU/USD1,
,,NO,TP,3,Yes,,,1,2,4,3,4,8,44,,"18,25",,7,a,Yes,18. Oktober 2023 22:00 (GMT+7),No,NO,,2023,L,No,,23,"4,5",A,,NY,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,,Yes,20. Oktober 2023 21:00 (GMT+7),No,Direkt SL,,2023,L,No,,26,-1,A,,NY,-1,,No,,,XAU/USD1,
